	GeneA	GeneB	GeneC	GeneD	GeneE
PT57	1.00398	0	0	151.60076	320.26916
PT58	0	0	0	0	0
PT59	0	0	0	0	0
PT60	0	0	0	15.55186	0
PT61	0	0	0	114.96669	0
PT62	10.27469	0	39.55756	47.77731	13.87083
PT63	1.94078	1.38627	13.30823	92.32582	6.93137
PT64	1.2548	0	46.4277	60.23053	0
PT65	0	16.69926	52.18519	62.62223	0
PT66	6.43321	19.7945	1.97945	84.62149	0
PT67	0	0	0	27.16118	0
PT68	1.00343	0	8.02745	13.0446	0
PT69	5.24381	10.48762	0	39.93363	2.42022
PT70	3.09276	12.37104	0	32.47398	0
PT71	2.58512	0	11.2022	97.37298	87.8942
PT72	0	0	1.10475	50.81831	0
PT73	0.72809	0.2427	2.91238	87.37135	0
PT74	21.36512	0	0	96.14304	0
PT75	17.65097	0	5.67353	63.98477	5.04313
PT76	1.14383	6.73587	3.81276	110.57002	0.76255
PT77	28.86399	0	0	14.56687	0
PT78	11.48735	0.40306	8.6659	118.90416	80.00839
PT79	3.80921	1.22878	23.34679	108.50115	33.66853
PT80	4.3364	3.97503	4.51708	74.62219	172.7332
PT81	63.68182	0	0	362.75895	0
PT82	0	0	0	89.16993	58.72166
PT83	0	0	10.05164	133.54323	0
PT84	116.74317	0	0	138.41406	0
PT85	0.61342	0	4.90732	49.07322	214.69536
PT86	38.36866	0	0	131.89228	0
PT87	0	0	0	0	0
PT88	2.25513	0	0	2.25513	0
PT89	55.43404	0	0	0	0
PT90	124.51982	0	0	0	0
PT91	45.20205	0	0	8.01455	0.96175
PT92	0	109.62742	3.48024	0.87006	2.61018
PT93	17.47845	0	7.7682	137.88559	93.21843
PT94	71.10396	4.18259	0	41.82586	34.50633
PT95	0.86009	0	0	0	0
PT96	22.95682	0	6.55909	200.05225	19.67727
PT97	1.91178	0	0	0	0
PT98	22.40693	3.40358	16.73429	116.00552	107.49656
PT99	107.62222	101.34425	151.56796	0	0
PT100	52.28512	88.05915	79.80361	0	0
PT101	125.89085	2.31701	0	57.92524	179.18206
PT102	69.7904	90.92566	29.5013	117.78506	0
PT103	40.93977	9.94582	0.4626	45.33443	13.18399
PT104	23.50538	0	0	1.46909	0
PT105	297.18876	3.28991	71.82975	103.08392	23.02939
PT106	15.52646	10.35098	0	214.78274	62.10585
PT107	0	0	0	34.16223	0
PT108	138.11361	1.49582	11.46792	111.18894	97.7266
PT109	316.71223	18.86127	27.50602	99.80758	316.71223
PT110	92.93155	5.03467	25.59289	69.01689	90.41422
PT111	0.71511	0	32.89495	140.16108	242.42146
PT112	1.09405	9.84643	6.12666	65.42403	0.65643
PT113	192.69749	0	0	152.66527	39.35371
PT114	43.63218	12.28479	9.74311	71.59066	28.3821
PT115	35.66177	0	2.22886	83.58228	224.0005
PT116	41.52836	1.88765	13.21357	47.19132	192.54057
PT117	24.16272	0	38.19268	26.50104	24.94216
PT118	23.30641	1.01332	3.03997	128.18528	10.63988
PT119	16.40249	14.63607	7.82272	40.88004	118.35025
PT120	23.31375	9.81631	22.08671	63.80604	0
PT121	19.74608	10.31512	9.43096	127.61271	54.22803
PT122	99.30076	1.70369	4.13753	119.25827	2.43384
PT123	540.23917	5.18693	45.48543	57.45527	762.08037
PT124	88.73572	0.56882	9.66992	42.6614	336.17185
PT125	0	0	0	64.48565	0
PT126	7.63645	0	0	259.6393	0
PT127	20.65251	4.81892	10.09678	147.09174	67.46485
PT128	46.39635	0	439.83742	257.96372	0
PT129	19.86692	1.26139	5.36092	30.27341	0
PT130	0.58189	0	0	43.64172	0
PT131	0	9.94744	0	21.88436	0
PT132	16.82034	0.85166	5.74872	47.48021	7.02622
PT133	7.53306	4.48396	5.02204	155.32445	17.03906
PT134	13.89362	3.04518	0.19032	87.54886	1.71291
PT135	180.70924	0	1.41179	61.41291	0
PT136	36.6495	0	0	33.24025	117.61933
PT137	3.81614	0	0	0	0
PT138	281.25967	7.30765	18.18416	96.18911	163.99733
PT139	0.21543	1.72348	0	63.12245	0
PT140	15.30811	19.78854	25.38907	112.38396	385.68981
PT141	0	0	0	153.52629	0
PT142	28.56914	4.39525	18.02054	135.8133	1.31858
PT143	16.53375	9.92025	17.77378	118.83635	11.36696
PT144	2.06861	31.71868	0.68954	93.08744	0
PT145	112.69099	0	52.58913	21.46495	0
PT146	6.96577	16.25346	3.48288	130.02768	63.85288
PT147	5.80417	7.83564	11.31814	64.71655	0
PT148	161.61323	4.03473	12.10418	75.98736	2.01736
PT149	0	0	214.70373	247.14098	0
PT150	5.08803	0	0	524.06704	0
PT151	5.1834	3.43316	7.33754	58.96955	0.20195
PT152	82.89742	4.9491	4.63978	115.99452	36.80893
PT153	6.20179	1.43118	0	37.21077	8.5871
PT154	0	0	0	4.11897	0
PT155	0	0	0	101.07472	0
PT156	59.59172	10.22407	41.18839	57.25479	54.62574
PT157	62.89381	1.58223	38.76474	72.78277	8.30673
PT158	15.32493	0	6.70466	45.97479	132.65643
PT159	0	0	0	264.8533	0
PT160	0	0	119.96428	25.08344	0
PT161	12.87031	0	0	172.21696	31.25646
PT162	69.67708	0	0	47.568	20.09916
PT163	90.97819	0	1.81956	188.32485	116.45208
PT164	0.30424	14.2992	1.06483	156.68277	3.9551
PT165	0	0	0	274.5347	0
PT166	23.34861	0	10.89602	319.09772	50.97781
PT167	0	4.50856	18.03424	151.03676	13.52568
PT168	0	0	0	73.91123	0
PT169	2.25208	0	0	81.0748	0
PT170	0	0	0	117.82109	0
PT171	0	0	0	255.88531	0
PT172	14.6208	0	0	98.21363	0.95353
PT173	33.55475	0	0	145.16077	102.12315
PT174	73.33457	0	8.37284	102.49516	0
PT175	82.8426	0	0	59.30777	31.06598
PT176	2.01921	0.89743	50.92893	89.06954	100.063
PT177	61.48255	8.12034	7.73365	84.29683	40.215
PT178	120.36383	1.77295	5.51585	89.82963	113.863
PT179	19.65033	3.23907	16.41127	55.49599	12.52439
PT180	22.95833	4.51639	10.53825	56.45491	37.26024
PT181	32.86699	0	15.0766	109.15459	4.52298
PT182	0	0	0	0.93093	0
PT183	96.60761	4.95424	90.41481	152.34277	126.33303
PT184	26.97082	0	3.2365	42.6139	83.60954
PT185	33.90873	0	0.381	50.6726	129.53898
PT186	16.14257	0	12.61139	106.4401	98.87327
PT187	0	0	0	198.02015	7.42576
PT188	40.89017	1.81734	0	45.43352	0
PT189	0	0	0	423.93368	0
PT190	128.56614	0	0	55.38234	310.53667
PT191	1.27426	0	0.42475	138.04509	0
PT192	0	0	3.9159	296.95582	22.51643
PT193	0	0	0	282.08037	0
PT194	0	0	9.01126	0	0
PT195	18.88023	0	1.57335	0	212.40256
PT196	72.68449	4.02313	15.55609	78.85329	31.91681
PT197	0	0	0	57.40164	0
PT198	73.85341	0	0	174.19771	0
PT199	0	97.21808	0	518.49643	0
PT200	0.63339	0	8.86747	107.043	0
PT201	0	4.6783	0	65.49622	0
PT202	0	0	0	121.46426	0
PT203	17.86206	0	0	42.98058	94.89218
PT204	33.48791	0	0	98.60328	629.75871
PT205	0	0	0	71.6271	0
PT206	0	61.93992	0	99.10387	0
PT207	0	0	0	344.51527	0
PT208	29.05663	0.37492	0	225.32949	11.62265
